Illinois:2015: Antrostomus carolinensis
Illinois:2015:Acanthametropus pecatonica
Illinois:2015:Acipenser fulvescens
Illinois:2015:Acroneuria abnormis
Illinois:2015:Acroneuria frisoni
Illinois:2015:Aeshna canadensis
Illinois:2015:Aflexia rubranura
Illinois:2015:Agrotis stigmosa
Illinois:2015:Alasmidonta marginaa 
Illinois:2015:Alasmidonta viridis 
Illinois:2015:Allocapnia illinoensis
Illinois:2015:Alosa alabamae
Illinois:2015:Amblyscirtes aesculapius
Illinois:2015:Amblyscirtes carolina
Illinois:2015:Amblyscirtes linda
Illinois:2015:Amblyscirtes reversa
Illinois:2015:Ambystoma jeffersonianum
Illinois:2015:Ambystoma laterale
Illinois:2015:Ambystoma platineum
Illinois:2015:Ameiurus nebulosus
Illinois:2015:Ammocrypta clara
Illinois:2015:Ammocrypta pellucida
Illinois:2015:Ammodramus henslowii
Illinois:2015:Ammodramus leconteii
Illinois:2015:Ammodramus savannarum
Illinois:2015:Amnicola limosa 
Illinois:2015:Anacampsis wikeri
Illinois:2015:Anafroptilum album
Illinois:2015:Anas rubripes 
Illinois:2015:Ancylis semiovana
Illinois:2015:Anguilla rostrata
Illinois:2015:Antrostomus vociferus
Illinois:2015:Apalone mutica
Illinois:2015:Apodrepanulatrix liberaria
Illinois:2015:Archanara subflava
Illinois:2015:Argyria critica
Illinois:2015:Asio flammeus
Illinois:2015:Athysanella incongrua
Illinois:2015:Atractosteus spatula 
Illinois:2015:Aythya affinis
Illinois:2015:Aythya valisineria 
Illinois:2015:Bactrurus brachycaudus
Illinois:2015:Bagisara gulnare
Illinois:2015:Bartramia longicauda
Illinois:2015:Bombus affinis
Illinois:2015:Bombus fraternus
Illinois:2015:Bombus pensylvanicus
Illinois:2015:Bombus vagans
Illinois:2015:Botaurus lentiginosus 
Illinois:2015:Buteo platypterus
Illinois:2015:Buteo swainsoni
Illinois:2015:Caecidotea beattyi
Illinois:2015:Caecidotea bicrenata
Illinois:2015:Caecidotea lesliei
Illinois:2015:Caecidotea packardi
Illinois:2015:Caecidotea tridentata
Illinois:2015:Calcarius pictus
Illinois:2015:Calephelis muticum
Illinois:2015:Calidris canutus
Illinois:2015:Calidris melanotos
Illinois:2015:Callophrys polios
Illinois:2015:Cambarus tenebrosus
Illinois:2015:Camelobaetidius waltzi
Illinois:2015:Campostoma oligolepis
Illinois:2015:Canis lupus
Illinois:2015:Carmenta anthracipennis
Illinois:2015:Catocala abbreviatella
Illinois:2015:Catocala whitneyi
Illinois:2015:Catostomus catostomus
Illinois:2015:Centrarchus macropterus
Illinois:2015:Centruroides vittatus
Illinois:2015:Chaetura pelagica
Illinois:2015:Charadrius melodus
Illinois:2015:Cheumatopsyche speciosa
Illinois:2015:Chimarra aterrima
Illinois:2015:Chlidonias niger
Illinois:2015:Chlosyne gorgone carlota
Illinois:2015:Chordeiles minor
Illinois:2015:Circus cyaneus
Illinois:2015:Cistothorus palustris
Illinois:2015:Clemmys guttata
Illinois:2015:Clinostomus elongatus
Illinois:2015:Clonophis kirtlandii
Illinois:2015:Coccyzus americanus
Illinois:2015:Coccyzus erythropthalmus
Illinois:2015:Colaptes auratus
Illinois:2015:Colinus virginianus
Illinois:2015:Coregonus artedi
Illinois:2015:Coregonus clupeaformis
Illinois:2015:Coregonus hoyi
Illinois:2015:Corynorhinus rafinesquii
Illinois:2015:Cosmotettix delector
Illinois:2015:Cottus cognatus
Illinois:2015:Coturnicops noveboracensis
Illinois:2015:Couesius plumbeus
Illinois:2015:Crangonyx anomalus
Illinois:2015:Crangonyx packardi
Illinois:2015:Crotalus horridus
Illinois:2015:Cryptobranchus alleganiensis
Illinois:2015:Crystallaria asprella
Illinois:2015:Cuerna alpina
Illinois:2015:Cyclonaias tuberculata
Illinois:2015:Cygnus buccinator
Illinois:2015:Cyprinella venusta
Illinois:2015:Cyprogenia stegaria 
Illinois:2015:Danaus plexippus
Illinois:2015:Dannella lita
Illinois:2015:Dannella simplex
Illinois:2015:Desmognathus conanti
Illinois:2015:Destria fumida
Illinois:2015:Diacyclops yeatmani
Illinois:2015:Dichagyris grotei
Illinois:2015:Dicranopselaphus variegatus
Illinois:2015:Digrammia ordinata
Illinois:2015:Diplectrona metequi
Illinois:2015:Diploperla robusta
Illinois:2015:Diporeia hoyi
Illinois:2015:Dolichonyx oryzivorus 
Illinois:2015:Draeculacephala inscripta
Illinois:2015:Egretta caerulea
Illinois:2015:Egretta thula
Illinois:2015:Elassoma zonatum
Illinois:2015:Ellipsaria lineolata 
Illinois:2015:Elliptio crassidens
Illinois:2015:Elliptio dilatata
Illinois:2015:Empidonax traillii
Illinois:2015:Empidonax virescens
Illinois:2015:Emydoidea blandingii
Illinois:2015:Epioblasma rangiana
Illinois:2015:Epioblasma triquetra 
Illinois:2015:Erastria coloraria
Illinois:2015:Erimystax x-punctatus
Illinois:2015:Eritettix simplex
Illinois:2015:Erynnis martialis
Illinois:2015:Esox lucius
Illinois:2015:Esox masquinongy
Illinois:2015:Etheostoma camurum
Illinois:2015:Etheostoma crossopterum
Illinois:2015:Etheostoma exile
Illinois:2015:Etheostoma histrio
Illinois:2015:Etheostoma kennicotti
Illinois:2015:Etheostoma microperca
Illinois:2015:Etheostoma proeliare
Illinois:2015:Etheostoma squamiceps
Illinois:2015:Eubranchipus neglectus
Illinois:2015:Euchlaena milnei
Illinois:2015:Euchloe olympia
Illinois:2015:Eucosma bipunctella
Illinois:2015:Eucosma fulminana
