Alabama:2015:Acipenser fulvescens
Alabama:2015:Actinonaias pectorosa
Alabama:2015:Alasmidonta triangulata
Alabama:2015:Alasmidonta viridis
Alabama:2015:Ambystoma tigrinum tigrinum
Alabama:2015:Ammocrypta vivax
Alabama:2015:Ammodramus nelsoni
Alabama:2015:Amphiuma pholeter
Alabama:2015:Anas rubripes
Alabama:2015:Anodontoides radiatus
Alabama:2015:Aquila chrysaetos
Alabama:2015:Athearnia anthonyi
Alabama:2015:Barbicambarus simmonsi
Alabama:2015:Bison bison
Alabama:2015:Calidris canutus
Alabama:2015:Cambarellus lesliei
Alabama:2015:Cambarus englishi
Alabama:2015:Cambarus halli
Alabama:2015:Cambarus longirostris
Alabama:2015:Cambarus manningi
Alabama:2015:Cambarus pyronotus
Alabama:2015:Cambarus speleocoopi
Alabama:2015:Cambarus veitchorum
Alabama:2015:Campeloma decampi
Alabama:2015:Canis rufus
Alabama:2015:Cervus elaphus
Alabama:2015:Chelonia mydas
Alabama:2015:Clappia cahabensis
Alabama:2015:Crotalus adamanteus
Alabama:2015:Cryptobranchus alleganiensis alleganiensis
Alabama:2015:Cumberlandia monodonta
Alabama:2015:Cyprinella callitaenia
Alabama:2015:Cyprogenia stegaria
Alabama:2015:Dermochelys coriacea
Alabama:2015:Desmognathus aeneus
Alabama:2015:Desmognathus auriculatus
Alabama:2015:Dromus dromas
Alabama:2015:Egretta rufescens
Alabama:2015:Elanoides forficatus
Alabama:2015:Elimia ampla
Alabama:2015:Elimia bellacrenata
Alabama:2015:Elimia lachryma
Alabama:2015:Elimia teretria
Alabama:2015:Elimia vanuxemiana
Alabama:2015:Elimia varians
Alabama:2015:Elliptio arca
Alabama:2015:Elliptio arctata
Alabama:2015:Elliptio nigella
Alabama:2015:Epioblasma ahlstedti
Alabama:2015:Epioblasma capsaeformis
Alabama:2015:Epioblasma penita
Alabama:2015:Erimonax monachus
Alabama:2015:Etheostoma camurum
Alabama:2015:Etheostoma chuckwachatte
Alabama:2015:Etheostoma ditrema 
Alabama:2015:Etheostoma sp. cf. bellator A
Alabama:2015:Etheostoma sp. cf. zonistium
Alabama:2015:Etheostoma trisella
Alabama:2015:Etheostoma tuscumbia
Alabama:2015:Etheostoma zonistium 
Alabama:2015:Ethesostoma bellator
Alabama:2015:Euphagus carolinus
Alabama:2015:Falco sparverius paulus
Alabama:2015:Fusconaia burkei*
Alabama:2015:Fusconaia cor
Alabama:2015:Graptemys barbouri
Alabama:2015:Gyrinophilus palleucus
Alabama:2015:Haematopus palliatus
Alabama:2015:Hamiota altilis*
Alabama:2015:Hamiota australis*
Alabama:2015:Hamiota perovalis*
Alabama:2015:Hiodon alosoides
Alabama:2015:Hobbseus prominens
Alabama:2015:Hyla andersonii
Alabama:2015:Lampropeltis getula
Alabama:2015:Lampropeltis nigra holbrooki
Alabama:2015:Lampsilis abrupta
Alabama:2015:Lampsilis virescens
Alabama:2015:Lanius ludovicianus
Alabama:2015:Lasmigona etowaensis
Alabama:2015:Lasmigona holstonia
Alabama:2015:Leptodea leptodon
Alabama:2015:Leptoxis compacta
Alabama:2015:Leptoxis foremani
Alabama:2015:Leptoxis plicata
Alabama:2015:Lepyrium showalteri
Alabama:2015:Liodytes (Seminatrix) pygaea 
Alabama:2015:Lioplax cyclostomaformis
Alabama:2015:Lithasia curta
Alabama:2015:Lithasia lima
Alabama:2015:Lithasia salebrosa
Alabama:2015:Lithobates areolatus
Alabama:2015:Lithobates capito
Alabama:2015:Lithobates heckscheri
Alabama:2015:Lithobates sevosus
Alabama:2015:Lucania goodei
Alabama:2015:Macrhybopsis hyostoma 
Alabama:2015:Margaritifera marrianae
Alabama:2015:Marstonia hershleri
Alabama:2015:Marstonia scalariformis
Alabama:2015:Medionidus parvulus
Alabama:2015:Medionidus penicillatus
Alabama:2015:Micropterus cataractae
Alabama:2015:Myotis grisescens
Alabama:2015:Myotis leibii
Alabama:2015:Myotis sodalis
Alabama:2015:Necturus alabamensis
Alabama:2015:Nerodia clarkii 
Alabama:2015:Nicrophorus americanus
Alabama:2015:Notropis albizonatus 
Alabama:2015:Notropis buchanani 
Alabama:2015:Notropis cahabae
Alabama:2015:Notropis cummingsae
Alabama:2015:Notropis hypsilepis
Alabama:2015:Noturus flavus 
Alabama:2015:Obovaria choctawensis*
Alabama:2015:Obovaria jacksoniana
Alabama:2015:Obovaria retusa
Alabama:2015:Obovaria subrotunda
Alabama:2015:Orconectes cooperi
Alabama:2015:Orconectes durelli
Alabama:2015:Orconectes sheltae
Alabama:2015:P. polionotus ammobates
Alabama:2015:P. polionotus trissylepsis
Alabama:2015:Palaemonias poulsoin
