Idaho:2005:Argiacris amissuli
Idaho:2005:Bolshecapnia milami
Idaho:2005:Cicindela waynei
Idaho:2005:Corynorhinus townsendii
Idaho:2005:Crotaphytus bicinctores
Idaho:2005:Cryptomastix mullani latilabris
Idaho:2005:Diadophis punctatus
Idaho:2005:Elgaria coerulea
Idaho:2005:Gulo gulo
Idaho:2005:Melanoplus digitifer
Idaho:2005:Myotis thysanodes
Idaho:2005:Neotamias ruficaudus
Idaho:2005:Oreohelix idahoensis
Idaho:2005:Oreohelix intersum
Idaho:2005:Peromyscus truei
Idaho:2005:Rangifer tarandus
Idaho:2005:Rhinocheilus lecontei
Idaho:2005:Sorex merriami
Idaho:2005:Thomomys townsendii
Idaho:2005:Utacapnia nedia
Massachusetts:2005:Abagrotis nefascia
Massachusetts:2005:Aeshna subarctica
Massachusetts:2005:Agkistrodon contortrix
Massachusetts:2005:Alasmidonta heterodon
Massachusetts:2005:Alasmidonta undulata
Massachusetts:2005:Alasmidonta varicosa
Massachusetts:2005:Alces alces
Massachusetts:2005:Alloperla voinae
Massachusetts:2005:Alosa aestivalis
Massachusetts:2005:Anguilla rostrata
Massachusetts:2005:Apodrepanulatrix liberaria
Massachusetts:2005:Bagisara rectifascia
Massachusetts:2005:Balaenoptera physalus
Massachusetts:2005:Bonasa umbellus
Massachusetts:2005:Carphophis amoenus
Massachusetts:2005:Catocala herodias gerhardi
Massachusetts:2005:Chaetaglaea cerata
Massachusetts:2005:Chelonia mydas
Massachusetts:2005:Cicindela dorsalis dorsalis
Massachusetts:2005:Cicindela limbalis
Massachusetts:2005:Cicindela marginipennis
Massachusetts:2005:Cicindela purpurea
Massachusetts:2005:Cicinnus melsheimeri
Massachusetts:2005:Coluber constrictor
Massachusetts:2005:Cottus cognatus
Massachusetts:2005:Couesius plumbeus
Massachusetts:2005:Cycnia inopinatus
Massachusetts:2005:Digrammia eremiata
Massachusetts:2005:Elaphe obsoleta
Massachusetts:2005:Emydoidea blandingii
Massachusetts:2005:Enallagma daeckii
Massachusetts:2005:Enallagma laterale
Massachusetts:2005:Enallagma minusculum
Massachusetts:2005:Enallagma recurvatum
Massachusetts:2005:Erora laeta
Massachusetts:2005:Erynnis persius persius
Massachusetts:2005:Euphyes dion
Massachusetts:2005:Faronta rubripennis
Massachusetts:2005:Gasterosteus aculeatus
Massachusetts:2005:Gavia immer
Massachusetts:2005:Gomphus fraternus
Massachusetts:2005:Gomphus vastus
Massachusetts:2005:Haliaeetus leucocephalus
Massachusetts:2005:Hemileuca maia
Massachusetts:2005:Heterodon platirhinos
Massachusetts:2005:Hygrotus sylvanus
Massachusetts:2005:Itame sp. 1
Massachusetts:2005:Ixobrychus exilis
Massachusetts:2005:Lasionycteris noctivagans
Massachusetts:2005:Lasiurus borealis
Massachusetts:2005:Leptodea ochracea
Massachusetts:2005:Lithophane viridipallens
Massachusetts:2005:Lota lota
Massachusetts:2005:Lycia rachelae
Massachusetts:2005:Lycia ypsilon
Massachusetts:2005:Macrobdella sestertia
Massachusetts:2005:Macrochilo bivittata
Massachusetts:2005:Metarranthis apiciaria
Massachusetts:2005:Metarranthis pilosaria
Massachusetts:2005:Microtus breweri
Massachusetts:2005:Myotis leibii
Massachusetts:2005:Myotis sodalis
Massachusetts:2005:Neoligia semicana
Massachusetts:2005:Neurocordulia obsoleta
Massachusetts:2005:Neurocordulia yamaskanensis
Massachusetts:2005:Nicrophorus americanus
Massachusetts:2005:Notropis bifrenatus
Massachusetts:2005:Numenius phaeopus
Massachusetts:2005:Ophiogomphus carolus
Massachusetts:2005:Papaipema appassionata
Massachusetts:2005:Papaipema sp. 2
Massachusetts:2005:Papaipema sulphurata
Massachusetts:2005:Parula americana
Massachusetts:2005:Perlesta nitida
Massachusetts:2005:Phocoena phocoena
Massachusetts:2005:Physeter catodon
Massachusetts:2005:Pieris oleracea
Massachusetts:2005:Pieris virginiensis
Massachusetts:2005:Polycelis remota
Massachusetts:2005:Pooecetes gramineus
Massachusetts:2005:Psectraglaea carnosa
Massachusetts:2005:Pseudemys rubriventris pop. 1
Massachusetts:2005:Ptichodis bistrigata
Massachusetts:2005:Rhinichthys cataractae
Massachusetts:2005:Semotilus atromaculatus
Massachusetts:2005:Somatochlora elongata
Massachusetts:2005:Somatochlora incurvata
Massachusetts:2005:Sorex dispar
Massachusetts:2005:Spongilla aspinosa
Massachusetts:2005:Stenoporpia polygrammaria
