Alabama:2015:Acantharchus pomotis
Alabama:2015:Acipenser fulvescens
Alabama:2015:Acipenser oxyrinchus desotoi 
Alabama:2015:Actinonaias ligamentina
Alabama:2015:Actinonaias pectorosa
Alabama:2015:Alasmidonta marginata
Alabama:2015:Alasmidonta triangulata
Alabama:2015:Alasmidonta viridis
Alabama:2015:Alosa alabamae 
Alabama:2015:Ambystoma bishopi
Alabama:2015:Ambystoma texanum
Alabama:2015:Ambystoma tigrinum tigrinum
Alabama:2015:Ammocrypta vivax
Alabama:2015:Ammodramus henslowii
Alabama:2015:Ammodramus maritimus
Alabama:2015:Ammodramus nelsoni
Alabama:2015:Amphiuma pholeter
Alabama:2015:Anas fulvigula
Alabama:2015:Anas rubripes
Alabama:2015:Aneides aeneus
Alabama:2015:Anodontoides radiatus
Alabama:2015:Antrorbis breweri
Alabama:2015:Aquila chrysaetos
Alabama:2015:Asio flammeus
Alabama:2015:Athearnia anthonyi
Alabama:2015:Bison bison
Alabama:2015:Calidris canutus
Alabama:2015:Cambarellus diminutus
Alabama:2015:Cambarellus lesliei
Alabama:2015:Cambarellus shufeldtii
Alabama:2015:Cambarus cracens
Alabama:2015:Cambarus distans
Alabama:2015:Cambarus halli
Alabama:2015:Cambarus howardi
Alabama:2015:Cambarus jonesi
Alabama:2015:Cambarus longirostris
Alabama:2015:Cambarus manningi
Alabama:2015:Cambarus parvoculus
Alabama:2015:Cambarus pecki
Alabama:2015:Cambarus pyronotus
Alabama:2015:Cambarus rusticiformis
Alabama:2015:Cambarus speleocoopi
Alabama:2015:Cambarus veitchorum
Alabama:2015:Campeloma decampi
Alabama:2015:Campephilus pricipalis
Alabama:2015:Caretta caretta
Alabama:2015:Cervus elaphus
Alabama:2015:Charadrius melodus
Alabama:2015:Charadrius nivosus
Alabama:2015:Charadrius wilsonia
Alabama:2015:Chelonia mydas
Alabama:2015:Clappia cahabensis
Alabama:2015:Corvus corax
Alabama:2015:Corynorhinus rafinesquii
Alabama:2015:Cottus paulus
Alabama:2015:Coturnicops noveboracensis
Alabama:2015:Crotalus adamanteus
Alabama:2015:Cryptobranchus alleganiensis alleganiensis
Alabama:2015:Cumberlandia monodonta
Alabama:2015:Cyprinella caerulea 
Alabama:2015:Cyprinella callitaenia
Alabama:2015:Cyprogenia stegaria
Alabama:2015:Dermochelys coriacea
Alabama:2015:Desmognathus aeneus
Alabama:2015:Desmognathus auriculatus
Alabama:2015:Dromus dromas
Alabama:2015:Drymarchon couperi
Alabama:2015:Egretta rufescens
Alabama:2015:Elanoides forficatus
Alabama:2015:Elassoma alabamae
Alabama:2015:Elimia ampla
Alabama:2015:Elimia annettae
Alabama:2015:Elimia bellacrenata
Alabama:2015:Elimia broccata
Alabama:2015:Elimia cochliaris
Alabama:2015:Elimia crenatella
Alabama:2015:Elimia dickinsoni
Alabama:2015:Elimia exusta
Alabama:2015:Elimia lachryma
Alabama:2015:Elimia melanoides
Alabama:2015:Elimia mihalcikae
Alabama:2015:Elimia nassula
Alabama:2015:Elimia perstriata
Alabama:2015:Elimia teretria
Alabama:2015:Elimia vanuxemiana
Alabama:2015:Elimia varians
Alabama:2015:Elimia variata
Alabama:2015:Elliptio arca
Alabama:2015:Elliptio arctata
Alabama:2015:Elliptio chipolaensis
Alabama:2015:Elliptio dilatata
Alabama:2015:Elliptio fraterna
Alabama:2015:Elliptio nigella
Alabama:2015:Elliptio purpurella
Alabama:2015:Elliptoideus sloatianus
Alabama:2015:Epioblasma ahlstedti
Alabama:2015:Epioblasma brevidens
Alabama:2015:Epioblasma capsaeformis
Alabama:2015:Epioblasma obliquata*
Alabama:2015:Epioblasma penita
Alabama:2015:Epioblasma triquetra
Alabama:2015:Erimonax monachus
Alabama:2015:Erimystax dissimilis 
Alabama:2015:Etheostoma boschungi 
Alabama:2015:Etheostoma brevirostrum 
Alabama:2015:Etheostoma camurum
Alabama:2015:Etheostoma chermocki 
Alabama:2015:Etheostoma chuckwachatte
Alabama:2015:Etheostoma cinereum
Alabama:2015:Etheostoma ditrema 
Alabama:2015:Etheostoma lynceum 
Alabama:2015:Etheostoma neopterum 
Alabama:2015:Etheostoma nuchale 
Alabama:2015:Etheostoma phytophilum 
Alabama:2015:Etheostoma sp. cf. bellator A
Alabama:2015:Etheostoma sp. cf. bellator B
Alabama:2015:Etheostoma sp. cf. zonistium
Alabama:2015:Etheostoma trisella
Alabama:2015:Etheostoma tuscumbia
Alabama:2015:Etheostoma wapiti 
Alabama:2015:Etheostoma zonistium 
Alabama:2015:Ethesostoma bellator
Alabama:2015:Euphagus carolinus
Alabama:2015:Falco sparverius paulus
Alabama:2015:Fallicambarus burrisi
Alabama:2015:Fallicambarus byersi
Alabama:2015:Fallicambarus danielae
Alabama:2015:Farancia erytrogramma erytrogramma
Alabama:2015:Fontigens nickliniana
Alabama:2015:Fusconaia burkei*
Alabama:2015:Fusconaia cor
Alabama:2015:Fusconaia cuneolus
Alabama:2015:Fusconaia escambia
Alabama:2015:Fusconaia rotulata
Alabama:2015:Fusconaia subrotunda
Alabama:2015:Gelochelidon nilotica
Alabama:2015:Geomys pinetis
Alabama:2015:Gopherus polyphemus
Alabama:2015:Graptemys barbouri
Alabama:2015:Graptemys ernsti
Alabama:2015:Gyrinophilus palleucus
Alabama:2015:Haematopus palliatus
Alabama:2015:Hamiota altilis*
Alabama:2015:Hamiota australis*
