American Samoa:2005:Anas superciliosa
American Samoa:2005:Aplonis atrifusca
American Samoa:2005:Balaenoptera edeni
American Samoa:2005:Birgus latro
American Samoa:2005:Chelonia mydas
American Samoa:2005:Clytorhynchus vitiensis
American Samoa:2005:Cryptoblepharus poeciloplurus
American Samoa:2005:D. schmeltziana
American Samoa:2005:Emballonura semicaudata semicaudata
American Samoa:2005:Emoia lawesi
American Samoa:2005:Eretmochelys imbricata
American Samoa:2005:Eua zebrina
American Samoa:2005:Gallicolumba stairi
American Samoa:2005:Globicephala macrorhynchus
American Samoa:2005:Megaptera novaeangliae
American Samoa:2005:Orcinus orca
American Samoa:2005:Ostodes strigatus
American Samoa:2005:Papilio godeffroyi
American Samoa:2005:Physeter macrocephalus
American Samoa:2005:Porphyrio porphyrio
American Samoa:2005:Pseudobulweria rostrata
American Samoa:2005:Pseudorca crassidens
American Samoa:2005:Pterodroma arminjoniana heraldica
American Samoa:2005:Pterodroma leucoptera brevipes
American Samoa:2005:Pteropus samoensis
American Samoa:2005:Pteropus tonganus
American Samoa:2005:Ptilinopus perousii
American Samoa:2005:Puffinus lherminieri
American Samoa:2005:Puffinus nativitatus
American Samoa:2005:Puffinus pacificus
American Samoa:2005:S. conica
American Samoa:2005:S. thurstoni
American Samoa:2005:Samoana abbreviata
American Samoa:2005:Stenella attenuata
American Samoa:2005:Stenella longirostris longirostris
American Samoa:2005:Steno bredanensis
American Samoa:2005:Sterna anaethaetus
American Samoa:2005:Trochomorpha apia
American Samoa:2005:Tursiups truncatus
California:2005:Anodonta oregonensis
California:2005:Aplodontia rufa californica
Connecticut:2005:Abagrotis nefascia benjamini
Connecticut:2005:Accipiter striatus
Connecticut:2005:Acipenser oxyrinchus
Connecticut:2005:Acronicta lanceolaria
Connecticut:2005:Actitis macularia
Connecticut:2005:Agkistrodon contortrix
Connecticut:2005:Agonum darlingtoni
Connecticut:2005:Agonum mutatum
Connecticut:2005:Agrotis stigmosa
Connecticut:2005:Alasmidonta heterodon
Connecticut:2005:Alosa mediocris
Connecticut:2005:Alosa pseudoharengus
Connecticut:2005:Amblyscirtes vialis
Connecticut:2005:Ambystoma maculatum
Connecticut:2005:Ambystoma opacum
Connecticut:2005:Ammodytes americanus
Connecticut:2005:Anarta luteola
Connecticut:2005:Anas discors
Connecticut:2005:Anchoa mitchilli
Connecticut:2005:Anguilla rostrata
Connecticut:2005:Apamea burgessi
Connecticut:2005:Apodrepanulatrix liberaria
Connecticut:2005:Ardea Herodias
Connecticut:2005:Asio flammeus
Connecticut:2005:Asteriid spp.
Connecticut:2005:Aythya affinis
Connecticut:2005:Aythya marila
Connecticut:2005:Aythya valisineria
Connecticut:2005:Badister transversus
Connecticut:2005:Baetisca lacustris
Connecticut:2005:Bembidion pseudocautum
Connecticut:2005:Bembidion quadratulum
Connecticut:2005:Botaurus lentiginosus
Connecticut:2005:Brachinus fumans
Connecticut:2005:Brachinus medius
Connecticut:2005:Brachinus ovipennis
Connecticut:2005:Brachinus patruelis
Connecticut:2005:Brevoortia tyrannus
Connecticut:2005:Bufo fowleri
Connecticut:2005:Busycon carica
Connecticut:2005:Busycotypus canaliculatum
Connecticut:2005:Calidris alba
Connecticut:2005:Callinectes sapidus
Connecticut:2005:Callophrys henrici
Connecticut:2005:Callophrys irus
Connecticut:2005:Callophrys polios
Connecticut:2005:Calopteryx dimidiata
Connecticut:2005:Cancer irroratus
Connecticut:2005:Caprimulgus vociferus
Connecticut:2005:Carabus serratus
Connecticut:2005:Carabus vinctus
Connecticut:2005:Caretta caretta
Connecticut:2005:Carpodacus purpureus
Connecticut:2005:Catharus guttatus
Connecticut:2005:Catharus minimus
Connecticut:2005:Catharus ustulatus
Connecticut:2005:Catocala herodias gerhardi
Connecticut:2005:Catocala pretiosa
Connecticut:2005:Catoptrophorus semipalmatus
Connecticut:2005:Celastrina neglectamajor
Connecticut:2005:Certhia americana
Connecticut:2005:Ceryle alcyon
Connecticut:2005:Chaetaglaea cerata
Connecticut:2005:Chelonia mydas
Connecticut:2005:Chlosyne harrisii
Connecticut:2005:Chlosyne nycteis
Connecticut:2005:Chordeiles minor
Connecticut:2005:Cicindela dorsalis dorsalis
Connecticut:2005:Cicindela formosa generosa
Connecticut:2005:Cicindela hirticollis
Connecticut:2005:Cicindela puritana
Connecticut:2005:Cicindela purpurea
Connecticut:2005:Cistothorus platensis
Connecticut:2005:Citheronia regalis
Connecticut:2005:Clethrionomys gapperi
Connecticut:2005:Coccyzus erythropthalmus
Connecticut:2005:Colaptes auratus
Connecticut:2005:Coluber constrictor
Connecticut:2005:Contopus borealis
Connecticut:2005:Cordulegaster erronea
Connecticut:2005:Cottus cognatus
Connecticut:2005:Crangon septemspinosa
Connecticut:2005:Crassostrea virginica
Connecticut:2005:Crotalus horridus
Connecticut:2005:Cryptotis parva
Connecticut:2005:Cucullia speyeri
Connecticut:2005:Cynoscion regalis
Connecticut:2005:Dasyatis centroura
Connecticut:2005:Dendroica caerulescens
Connecticut:2005:Dendroica cerulea
Connecticut:2005:Dendroica coronata
Connecticut:2005:Dendroica fusca
Connecticut:2005:Dendroica magnolia
Connecticut:2005:Dendroica tigrina
Connecticut:2005:Dendroica virens
Connecticut:2005:Desmognathus fuscus
Connecticut:2005:Dolichonyx oryzivorus
Connecticut:2005:Eacles imperialis
Connecticut:2005:Empidonax minimus
Connecticut:2005:Empidonax traillii
Connecticut:2005:Enallagma doubledayi
Connecticut:2005:Enallagma minusculum
Connecticut:2005:Ensis directus
Connecticut:2005:Eremophila alpestris
Connecticut:2005:Erynnis horatius
Connecticut:2005:Erynnis lucilius
Connecticut:2005:Esox americanus
Connecticut:2005:Esox niger
Connecticut:2005:Euchlaena madusaria
Connecticut:2005:Eulimnadia agassizii
Connecticut:2005:Euphyes dion
Connecticut:2005:Euxoa pleuritica
Connecticut:2005:Euxoa violaris
Connecticut:2005:Falco peregrinus
Connecticut:2005:Family Xanthidae
Connecticut:2005:Faronta rubripennis
Connecticut:2005:Felis rufus
Connecticut:2005:Fossaria rustica
Connecticut:2005:Fundulus heteroclitus
Connecticut:2005:Fundulus luciae
Connecticut:2005:Gallinula chloropus
Connecticut:2005:Geopinus incrassatus
Connecticut:2005:Gilvossius setimanus
Connecticut:2005:Gomphus adelphus
Connecticut:2005:Gomphus descriptus
Connecticut:2005:Gomphus fraternus
Connecticut:2005:Gomphus vastus
Connecticut:2005:Gomphus ventricosus
Connecticut:2005:Goniops chrysocoma
Connecticut:2005:Grammia phyllira
Connecticut:2005:Gyraulus circumstriatus
Connecticut:2005:Gyrinophilus porphyriticus
Connecticut:2005:Haematopus palliatus
Connecticut:2005:Haliaeetus leucocephalus
Connecticut:2005:Harpalus caliginosus
Connecticut:2005:Harpalus eraticus
Connecticut:2005:Helluomorphoides praeustus
Connecticut:2005:Helmitheros vermivorus
Connecticut:2005:Hemaris gracilis
Connecticut:2005:Hemileuca maia
Connecticut:2005:Hemitripterus americanus
Connecticut:2005:Hetaerina americana
Connecticut:2005:Heterodon platirhinos
Connecticut:2005:Hippocampus erectus
Connecticut:2005:Homarus americanus
Connecticut:2005:Hybomitra frosti
Connecticut:2005:Hybomitra lurida
Connecticut:2005:Hybomitra trepida
Connecticut:2005:Hybomitra typhus
Connecticut:2005:Hyla versicolor
Connecticut:2005:Hylocichla mustelina
Connecticut:2005:Icteria virens
Connecticut:2005:Icterus galbula
Connecticut:2005:Icterus spurius
Connecticut:2005:Ixobrychus exilis
Connecticut:2005:Junco hyemalis
Connecticut:2005:Lampetra appendix
Connecticut:2005:Lampsilis cariosa
Connecticut:2005:Lasionycteris noctivagans
Connecticut:2005:Lasiurus borealis
Connecticut:2005:Lasiurus cinereus
Connecticut:2005:Laterallus jamaicensis
Connecticut:2005:Lepidochelys kempii
Connecticut:2005:Lepipolys perscripta
Connecticut:2005:Lepomis gibbosus
Connecticut:2005:Leptodea ochracea
Connecticut:2005:Leptophlebia bradleyi
Connecticut:2005:Libinia emarginata
Connecticut:2005:Ligumia nasuta
Connecticut:2005:Limulus polyphemus
Connecticut:2005:Lithophane lemmeri
Connecticut:2005:Lophodytes cucullatus
Connecticut:2005:Luxilus cornutus
Connecticut:2005:Macrozoarces americanus
Connecticut:2005:Malaclemys terrapin
Connecticut:2005:Melanerpes erythrocephalus
Connecticut:2005:Melanitta fusca
Connecticut:2005:Melanitta nigra
Connecticut:2005:Menidia menidia
Connecticut:2005:Meropleon ambifusca
Connecticut:2005:Metarranthis apiciaria
Connecticut:2005:Microgadus tomcod
Connecticut:2005:Micropterus dolomieu
Connecticut:2005:Micropterus salmoides
Connecticut:2005:Microtus pinetorum
Connecticut:2005:Mitoura hesseli
Connecticut:2005:Mixogaster johnsoni
Connecticut:2005:Mniotilta varia
