 U.S. Virgin Islands:2015:Pilocarpus racemosus ssp. racemosus
.S. Virgin Islands:2015:Zygia latifolia var. latifolia
American Samoa:2005:Aplonis atrifusca
American Samoa:2005:B. bonaerensis
American Samoa:2005:Clytorhynchus vitiensis
American Samoa:2005:Diastole matafaoi
American Samoa:2005:Ducula pacifica
American Samoa:2005:Emoia lawesi
American Samoa:2005:Megaptera novaeangliae
American Samoa:2005:Physeter macrocephalus
American Samoa:2005:Pseudobulweria rostrata
American Samoa:2005:Pterodroma arminjoniana heraldica
American Samoa:2005:Pterodroma leucoptera brevipes
American Samoa:2005:Pteropus tonganus
American Samoa:2005:Puffinus pacificus
American Samoa:2005:S. conica
American Samoa:2005:S. thurstoni
American Samoa:2005:Samoana abbreviata
American Samoa:2005:Steno bredanensis
American Samoa:2005:Sterna anaethaetus
American Samoa:2005:Tursiups truncatus
Delaware:2015:Accipiter striatus
Delaware:2015:Acipenser oxyrinchus oxyrinchus
Delaware:2015:Acris crepitans
Delaware:2015:Acronicta exilis
Delaware:2015:Acronicta increta
Delaware:2015:Acronicta lithospila
Delaware:2015:Acronicta rubricoma
Delaware:2015:Agabetes acuductus
Delaware:2015:Alasmidonta heterodon
Delaware:2015:Alasmidonta undulata
Delaware:2015:Alopias superciliosus
Delaware:2015:Amia calva
Delaware:2015:Ammodramus caudacutus
Delaware:2015:Ammodramus henslowii
Delaware:2015:Amorpha juglandis
Delaware:2015:Amphion floridensis
Delaware:2015:Anas acuta
Delaware:2015:Anas rubripes
Delaware:2015:Anatrytone logan
Delaware:2015:Anax longipes
Delaware:2015:Anguispira fergusoni
Delaware:2015:Anisocentropus pyraloides
Delaware:2015:Anodonta implicata
Delaware:2015:Argia translata
Delaware:2015:Argyrostrotis quadrifilaris
Delaware:2015:Arigomphus villosipes
Delaware:2015:Asio flammeus
Delaware:2015:Atlides halesus
Delaware:2015:Atrytonopsis hianna
Delaware:2015:Autochton cellus
Delaware:2015:Bartramia longicauda
Delaware:2015:Battus philenor
Delaware:2015:Bellura gortynoides
Delaware:2015:Beraea nigritta
Delaware:2015:Boloria selene myrina
Delaware:2015:Bombus affinis
Delaware:2015:Bombus ashtoni
Delaware:2015:Bombus auricomus
Delaware:2015:Bombus fraternus
Delaware:2015:Bombus pensylvanicus
Delaware:2015:Bombus variabilis
Delaware:2015:Boyeria vinosa
Delaware:2015:Bucephala albeola
Delaware:2015:Busycon carica
Delaware:2015:Busycotypus canaliculatus
Delaware:2015:Buteo lineatus
Delaware:2015:Buteo platypterus
Delaware:2015:Calidris fuscicollis
Delaware:2015:Calidris maritima
Delaware:2015:Callinectes sapidus
Delaware:2015:Callophrys augustinus
Delaware:2015:Callophrys henrici
