Alabama:2005:Acipenser oxyrinchus desotoi
Alabama:2005:Actinonaias ligamentina
Alabama:2005:Alasmidonta viridis
Alabama:2005:Alosa alabamae
Alabama:2005:Ambystoma cingulatum
Alabama:2005:Ammodramus maritimus
Alabama:2005:Anas rubripes
Alabama:2005:Anodontoides radiatus
Alabama:2005:Asio flammeus
Alabama:2005:Athearnia anthonyi
Alabama:2005:Bos bison
Alabama:2005:Cambarellus diminutus
Alabama:2005:Cambarus cracens
Alabama:2005:Cambarus howardi
Alabama:2005:Cambarus miltus
Alabama:2005:Cambarus scotti
Alabama:2005:Cambarus unestami
Alabama:2005:Cambarus veitchorum
Alabama:2005:Campephilus pricipalis
Alabama:2005:Charadrius alexandrinus
Alabama:2005:Charadrius melodus
Alabama:2005:Charadrius wilsonia
Alabama:2005:Circus cyaneus
Alabama:2005:Clappia cahabensis
Alabama:2005:Corvus corax
Alabama:2005:Corynorhinus rafinesquii
Alabama:2005:Cottus paulus
Alabama:2005:Cumberlandia monodonta
Alabama:2005:Cyprinella caerulea
Alabama:2005:Cyprogenia stegaria
Alabama:2005:Desmognathus aeneus
Alabama:2005:Desmognathus auriculatus
Alabama:2005:Dromus dromas
Alabama:2005:Drymarchon couperi
Alabama:2005:Egretta rufescens
Alabama:2005:Elanoides forficatus
Alabama:2005:Elassoma alabamae
Alabama:2005:Elimia annettae
Alabama:2005:Elimia bellacrenata
Alabama:2005:Elimia crenatella
Alabama:2005:Elimia lachryma
Alabama:2005:Elimia melanoides
Alabama:2005:Elimia vanuxemiana
Alabama:2005:Elimia variata
Alabama:2005:Elliptio arca
Alabama:2005:Elliptio arctata
Alabama:2005:Elliptio chipolaensis
Alabama:2005:Elliptio dilatata
Alabama:2005:Epioblasma brevidens
Alabama:2005:Epioblasma capsaeformis
Alabama:2005:Epioblasma metastriata
Alabama:2005:Epioblasma triquetra
Alabama:2005:Etheostoma brevirostrum
Alabama:2005:Etheostoma neopterum
Alabama:2005:Etheostoma nuchale
Alabama:2005:Etheostoma sp. cf. bellator
Alabama:2005:Falco sparverius
Alabama:2005:Fallicambarus burrisi
Alabama:2005:Farancia erytrogramma
Alabama:2005:Fusconaia burkei
Alabama:2005:Fusconaia cor
Alabama:2005:Fusconaia rotulata
Alabama:2005:Fusconaia subrotunda
Alabama:2005:Geomys pinetis
Alabama:2005:Gopherus polyphemus
Alabama:2005:Graptemys barbouri
Alabama:2005:Gyrinophilus palleucus
Alabama:2005:Haematopus palliatus
Alabama:2005:Hamiota altilis
Alabama:2005:Hamiota australis
Alabama:2005:Hamiota perovalis
Alabama:2005:Hamiota subangulata
Alabama:2005:Heterodon simus
Alabama:2005:Hiodon alosoides
Alabama:2005:Hyla andersonii
Alabama:2005:Io fluvialis
Alabama:2005:Lampropeltis getula getula
Alabama:2005:Lampsilis abrupta
Alabama:2005:Lampsilis virescens
Alabama:2005:Lasmigona costata
Alabama:2005:Lasmigona holstonia
Alabama:2005:Laterallus jamaicensis
Alabama:2005:Lemiox rimosus
Alabama:2005:Leptodea leptodon
Alabama:2005:Leptoxis ampla
Alabama:2005:Leptoxis foremani
Alabama:2005:Leptoxis taeniata
Alabama:2005:Lioplax cyclostomaformis
Alabama:2005:Lithasia lima
Alabama:2005:Lithasia salebrosa
Alabama:2005:Malaclemys terrapin pileata
Alabama:2005:Margaritifera marrianae
Alabama:2005:Marstonia pachyta
Alabama:2005:Medionidus penicillatus
Alabama:2005:Mycteria americana
Alabama:2005:Myotis austroriparius
Alabama:2005:Myotis grisescens
Alabama:2005:Myotis septentrionalis
Alabama:2005:Necturus alabamensis
Alabama:2005:Neotoma magister
Alabama:2005:Notropis cahabae
Alabama:2005:Notropis cummingsae
Alabama:2005:Notropis melanostomus
Alabama:2005:Noturus elegans
Alabama:2005:Noturus miurus
Alabama:2005:Noturus sp cf. flavus
Alabama:2005:Obovaria retusa
Alabama:2005:Obovaria subrotunda
Alabama:2005:Obovaria unicolor
Alabama:2005:Ophisaurus mimicus
Alabama:2005:Oporornis formosus
Alabama:2005:Orconectes chickasawae
Alabama:2005:Pegias fabula
Alabama:2005:Percina phoxocephala
Alabama:2005:Percina sp. cf. macrocephala
Alabama:2005:Percina sp.
Alabama:2005:Peromyscus polionotus ammobates
Alabama:2005:Phaeognathus hubrichti
Alabama:2005:Phenacobius mirabilis
Alabama:2005:Picoides borealis
Alabama:2005:Plethobasus cyphyus
Alabama:2005:Pleurobema clava
Alabama:2005:Pleurobema hanleyianum
Alabama:2005:Pleurobema plenum
Alabama:2005:Pleurobema sintoxia
Alabama:2005:Pleurocera foremani
Alabama:2005:Pleuronaia barnesiana
Alabama:2005:Potamilus inflatus
Alabama:2005:Procambarus capillatus
Alabama:2005:Procambarus lagniappe
Alabama:2005:Procambarus pecki
Alabama:2005:Pseudacris ocularis
Alabama:2005:Pseudemys alabamensis
Alabama:2005:Pteronotropis euryzonus
Alabama:2005:Pteronotropis welaka
Alabama:2005:Ptychobranchus fasciolaris
Alabama:2005:Ptychobranchus greenii
Alabama:2005:Quadrula intermedia
Alabama:2005:Rana capito
Alabama:2005:Rana heckscheri
Alabama:2005:Rana sevosa
Alabama:2005:Scaphirhynchus platorynchus
Alabama:2005:Seminatrix pygaea pygaea
Alabama:2005:Sorex hoyi
Alabama:2005:Sternotherus carinatus
Alabama:2005:Sternotherus depressus
Alabama:2005:Sylvilagus palustris
Alabama:2005:Tadarida brasiliensis
Alabama:2005:Toxolasma cylindrellus
Alabama:2005:Trichechus manatus
Alabama:2005:Ursus americanus
Alabama:2005:Villosa choctawensis
Alabama:2005:Zapus hudsonius
Arizona:2015:Aegolius acadicus
Arizona:2015:Aeronautes saxatalis
Arizona:2015:Agosia chrysogaster
Arizona:2015:Aix sponsa
Arizona:2015:Amazilia violiceps
Arizona:2015:Ambystoma mavortium nebulosum
Arizona:2015:Ambystoma mavortium stebbinsi
Arizona:2015:Ammodramus bairdii
Arizona:2015:Anthus rubescens
Arizona:2015:Anthus spragueii
Arizona:2015:Antilocapra americana americana
Arizona:2015:Antilocapra americana sonoriensis
Arizona:2015:Aphelocoma californica
Arizona:2015:Ardea alba
Arizona:2015:Ashmunella chiricahuana
Arizona:2015:Ashmunella ferrissi
Arizona:2015:Ashmunella levettei
Arizona:2015:Ashmunella mogollonensis
Arizona:2015:Aspidoscelis xanthonota
Arizona:2015:Athene cunicularia hypugaea
Arizona:2015:Baeolophus ridgwayi
Arizona:2015:Botaurus lentiginosus
Arizona:2015:Branchinecta coloradensis
Arizona:2015:Branchinecta kaibabensis
Arizona:2015:Branchinecta lindahli
Arizona:2015:Branchinecta packardi
Arizona:2015:Bufo alvarius
Arizona:2015:Bufo retiformis
Arizona:2015:Buteo regalis
Arizona:2015:Calcarius ornatus
Arizona:2015:Calypte costae
Arizona:2015:Campostoma ornatum
Arizona:2015:Camptostoma imberbe 
Arizona:2015:Canis lupus baileyi
Arizona:2015:Caprimulgus ridgwayi
Arizona:2015:Cardellina rubrifrons
Arizona:2015:Catharus ustulatus
Arizona:2015:Catostomus discobolus yarrowi
Arizona:2015:Catostomus discobolus
Arizona:2015:Catostomus insignis
Arizona:2015:Catostomus latipinnis
Arizona:2015:Chaenaxis tuba
Arizona:2015:Chaetodipus formosus
Arizona:2015:Charadrius alexandrinus nivosus
Arizona:2015:Chionactis occipitalis klauberi
Arizona:2015:Choeronycteris mexicana
Arizona:2015:Chrysemys picta
Arizona:2015:Colinus virginianus ridgwayi
Arizona:2015:Columella columella
Arizona:2015:Crotalus cerberus
Arizona:2015:Crotalus tigris
Arizona:2015:Crotalus willardi obscurus
Arizona:2015:Cynanthus latirostris
Arizona:2015:Cyzicus setosa
Arizona:2015:Dendroica nigrescens
Arizona:2015:Dipodomys microps celsus
Arizona:2015:Discus shimekii cockerelli
Arizona:2015:Elops affinis
Arizona:2015:Euderma maculatum
Arizona:2015:Eugenes fulgens
Arizona:2015:Eumops perotis californicus
Arizona:2015:Eumops underwoodi
Arizona:2015:Falco mexicanus
Arizona:2015:Falco peregrinus anatum
Arizona:2015:Fossaria modicella
Arizona:2015:Fossaria parva
Arizona:2015:Fossaria techella
Arizona:2015:Gastrocopta pilsbryana
Arizona:2015:Gila purpurea
Arizona:2015:Gila robusta
Arizona:2015:Gila seminuda
Arizona:2015:Glaucidium brasilianum cactorum
Arizona:2015:Glaucidium gnoma gnoma
Arizona:2015:Glyphyalinia indentata
Arizona:2015:Gopherus morafkai
Arizona:2015:Gyalopion quadrangulare
Arizona:2015:Gymnogyps californianus
Arizona:2015:Haliaeetus leucocephalus
Arizona:2015:Hawaiia minuscula
Arizona:2015:Helicodiscus eigenmanni
Arizona:2015:Helisoma anceps
Arizona:2015:Heloderma suspectum
Arizona:2015:Holospira arizonensis
Arizona:2015:Holospira ferrissi
Arizona:2015:Holospira sherbrookei
Arizona:2015:Holospira whetstonensis
Arizona:2015:Hyalella azteca
Arizona:2015:Hyalella montezuma
Arizona:2015:Hypsiglena species novum
Arizona:2015:Ictalurus pricei
Arizona:2015:Icteria virens
Arizona:2015:Icterus parisorum
Arizona:2015:Ixobrychus exilis hesperis
Arizona:2015:Kinosternon arizonense
Arizona:2015:Kinosternon flavescens
Arizona:2015:Kinosternon sonoriense longifemorale
Arizona:2015:Kinosternon sonoriense sonoriense
Arizona:2015:Lampropeltis getula nigrita
Arizona:2015:Lasiurus blossevillii
Arizona:2015:Lepidomeda mollispinis mollispinis
Arizona:2015:Lepidomeda vittata
Arizona:2015:Leptestheria compleximanus
Arizona:2015:Lontra canadensis sonora
Arizona:2015:Macrotus californicus
Arizona:2015:Masticophis bilineatus
Arizona:2015:Megascops kennicottii
Arizona:2015:Melanerpes lewis
Arizona:2015:Melanerpes uropygialis
Arizona:2015:Melospiza lincolnii
Arizona:2015:Microtus longicaudus
Arizona:2015:Microtus mexicanus
Arizona:2015:Micruroides euryxanthus
Arizona:2015:Mugil cephalus
Arizona:2015:Mustela nigripes
Arizona:2015:Myiarchus tuberculifer
Arizona:2015:Myioborus pictus
Arizona:2015:Myiodynastes luteiventris
Arizona:2015:Myotis occultus
Arizona:2015:Naesiotus nigromontanus
Arizona:2015:Neotoma lepida
Arizona:2015:Neotoma stephensi
Arizona:2015:Onychomys torridus
Arizona:2015:Oreohelix barbata
Arizona:2015:Oreohelix concentrata
Arizona:2015:Oreohelix grahamensis
Arizona:2015:Oreohelix strigosa meridionalis
Arizona:2015:Oreohelix subrudis
Arizona:2015:Oreoscoptes montanus
Arizona:2015:Oreothlypis celata
Arizona:2015:Oreothlypis luciae
Arizona:2015:Oreothlypis virginiae
Arizona:2015:Otala lactea
Arizona:2015:Oxyloma haydeni haydeni
Arizona:2015:Pachyramphus aglaiae
Arizona:2015:Passerculus sandwichensis
Arizona:2015:Passerina amoena
Arizona:2015:Perognathus amplus cineris
Arizona:2015:Perognathus amplus
Arizona:2015:Perognathus apache melanotis
Arizona:2015:Peromyscus crinitus
Arizona:2015:Peromyscus nasutus (difficilis)
Arizona:2015:Peucaea cassinii
Arizona:2015:Phalaenoptilus nuttallii
Arizona:2015:Phyllorhynchus browni
Arizona:2015:Physella humerosa
Arizona:2015:Pica hudsonia
Arizona:2015:Picoides arizonae
Arizona:2015:Picoides dorsalis
Arizona:2015:Pinicola enucleator
Arizona:2015:Piranga rubra
Arizona:2015:Pisidium insigne
Arizona:2015:Plestiodon gilberti arizonensis
Arizona:2015:Poecile sclateri
Arizona:2015:Polioptila nigriceps
Arizona:2015:Porzana carolina
Arizona:2015:Pseudacris hypochondriaca
Arizona:2015:Ptychocheilus lucius
